iChain, Nevents, Neffective, LumiEffective
7, 167108, 158105, 2.56969
8, 99528, 90609.3, 763.347
10, 3349, 549.85, 33.2779
12, 58323, 49552.2, 1051.39
14, 164448, 155447, 211.614
15, 78667, 69803.8, 911.217
16, 101061, 92139.1, 4477.55
17, 28090, 19703.5, 549.611
18, 106574, 97641.5, 2723.61
19, 61417, 52628.2, 8.74675
20, 55515, 46762.2, 24.9595
21, 73239, 64395.4, 844.64
22, 12926, 5409.49, 2021.44
23, 48202, 39506.1, 282736
24, 22208, 14018, 176884
25, 5393, 857.927, 69650.5
26, 19350, 11298.5, 1.08431e+06
27, 6438, 1000.53, 181003
28, 17757, 9802.06, 1.32172e+07
29, 7252, 1137.39, 6.36351e+06
30, 60992, 52205.5, 8.67651
31, 55359, 46607.3, 24.8768
32, 73230, 64386.4, 844.522
33, 13071, 5536.61, 2068.94
34, 48580, 39880.8, 285417
35, 21897, 13720.3, 173127
36, 5336, 859.851, 69806.7
37, 19205, 11161.6, 1.07117e+06
38, 6704, 1045.93, 189215
39, 17812, 9853.44, 1.32865e+07
40, 7561, 1187.94, 6.6463e+06
