Bin: 1, Error: 144.814
Bin: 2, Error: 124.499
Bin: 3, Error: 113.36
Bin: 4, Error: 105.403
Bin: 5, Error: 110.829
Bin: 6, Error: 121.727
Bin: 7, Error: 173.2
Bin: 8, Error: 231.834
Bin: 9, Error: 304.778
Bin: 10, Error: 328.905
Bin: 11, Error: 355.127
Bin: 12, Error: 406.249
Bin: 13, Error: 483.02
Bin: 14, Error: 651.993
Bin: 15, Error: 916.438
Bin: 16, Error: 1970.32
Bin: 17, Error: 1888.66
Bin: 18, Error: 592.448
Bin: 19, Error: 356.314
Bin: 20, Error: 235.011
Bin: 21, Error: 209.38
Bin: 22, Error: 172.511
Bin: 23, Error: 156.539
Bin: 24, Error: 142.925
Bin: 25, Error: 127.151
Bin: 26, Error: 119.204
Bin: 27, Error: 104.737
Bin: 28, Error: 94.3773
Bin: 29, Error: 89.6858
Bin: 30, Error: 78.2654
Bin: 31, Error: 71.8446
Bin: 32, Error: 62.9504
Bin: 33, Error: 56.6646
Bin: 34, Error: 52.3911
Bin: 35, Error: 43.0329
Bin: 36, Error: 31.0779
Bin: 37, Error: 24.6052
Bin: 38, Error: 19.2014
Bin: 39, Error: 13.8089
Bin: 40, Error: 11.7281
Bin: 41, Error: 9.56776
Bin: 42, Error: 7.57717
Bin: 43, Error: 3.59247
