Bin: 1, Error: 581.601
Bin: 2, Error: 738.243
Bin: 3, Error: 747.349
Bin: 4, Error: 723.535
Bin: 5, Error: 753.024
Bin: 6, Error: 889.011
Bin: 7, Error: 1139.74
Bin: 8, Error: 1549.57
Bin: 9, Error: 2278.64
Bin: 10, Error: 3371.03
Bin: 11, Error: 4528.37
Bin: 12, Error: 5484.18
Bin: 13, Error: 5933.6
Bin: 14, Error: 6307.47
Bin: 15, Error: 7818.54
Bin: 16, Error: 9711.17
Bin: 17, Error: 8819.18
Bin: 18, Error: 5573.63
Bin: 19, Error: 3459.47
Bin: 20, Error: 2499.67
Bin: 21, Error: 1669.31
Bin: 22, Error: 1080.82
Bin: 23, Error: 742.843
Bin: 24, Error: 542.192
Bin: 25, Error: 433.005
Bin: 26, Error: 345.513
Bin: 27, Error: 283.099
Bin: 28, Error: 238.184
Bin: 29, Error: 200.896
Bin: 30, Error: 160.759
Bin: 31, Error: 137.885
Bin: 32, Error: 119.142
Bin: 33, Error: 100.309
Bin: 34, Error: 87.7951
Bin: 35, Error: 70.5008
Bin: 36, Error: 48.6533
Bin: 37, Error: 38.9199
Bin: 38, Error: 30.6919
Bin: 39, Error: 19.3812
Bin: 40, Error: 17.9453
Bin: 41, Error: 14.0761
Bin: 42, Error: 11.2389
Bin: 43, Error: 3.93603
